person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21,0,3,0.026972549,0,2,0.022727273,1,11.14,0.08,2,504,1,0
21,0,3,0.031186616,0,2,0.090909091,5,7.14,0.19,2,532,0,1
21,0,3,0.029851216,0,2,0.05,5,14.74,0.13,3,640,0,1
24,0,4,0.039576956,1,0,0.056818182,1,10.99,0.12,2,679,0,1
24,0,1,0.03695025,0,2,0.045454545,4,7.29,0.11,3,600,1,0
21,0,0,0.039608451,0,0,0.185227273,5,17.74,0.32,3,626,0,1
23,1,3,0.039639946,0,2,0.040909091,4,9.32,0.1,3,607,0,0
21,0,1,0.044017789,0,1,0.159090909,1,12.84,0.27,2,553,0,1
21,1,3,0.043198912,0,2,0.068181818,3,11.12,0.13,3,589,0,1
21,1,0,0.045038235,0,2,0.090909091,1,7.51,0.17,4,600,0,1
24,0,3,0.0446099,0,2,0.090909091,5,12.69,0.17,3,631,0,1
24,1,0,0.045535861,1,2,0.056818182,5,11.01,0.11,3,631,1,0
22,1,0,0.044175265,0,0,0.045454545,1,14.84,0.1,3,688,0,0
25,1,3,0.045113824,1,2,0.113636364,3,11.01,0.2,3,564,0,1
21,0,3,0.046027187,0,2,0.113636364,1,13.61,0.2,3,557,0,1
21,0,1,0.045680739,0,2,0.168181818,4,13.48,0.28,4,663,0,1
22,1,1,0.046814568,3,2,0.193181818,0,7.14,0.31,2,601,0,1
26,1,1,0.047274399,0,2,0.1,0,11.01,0.17,4,587,0,1
21,0,1,0.046575204,0,0,0.125,0,15.68,0.21,3,518,0,1
24,0,1,0.049938899,1,2,0.05,3,13.57,0.1,3,689,1,0
22,1,3,0.051765625,1,0,0.068181818,4,5.42,0.12,4,614,0,1
25,0,1,0.051721531,2,2,0.056818182,4,13.61,0.11,3,597,1,0
25,1,3,0.052773473,0,2,0.113636364,0,12.87,0.18,4,603,0,1
24,1,1,0.05399549,0,0,0.143181818,2,9.91,0.22,3,589,0,1
24,1,3,0.053352986,2,0,0.181818182,0,11.83,0.27,4,643,0,1
23,1,3,0.054165564,0,2,0.086363636,0,13.49,0.14,2,505,0,1
25,0,0,0.052880557,4,2,0.140909091,3,14.59,0.22,3,646,0,1
22,0,1,0.055998589,0,2,0.193181818,1,11.01,0.28,3,645,0,1
23,0,1,0.057630044,0,2,0.202272727,0,7.9,0.29,4,531,0,1
