person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
21.0,0,3,0.0269725487231817,0,2,0.0227272727272727,1,11.14,0.08,2.0,504,1,0
21.0,0,3,0.0311866157703113,0,2,0.0909090909090909,5,7.14,0.19,2.0,532,0,1
21.0,0,3,0.0298512163473046,0,2,0.05,5,14.74,0.13,3.0,640,0,1
24.0,0,4,0.0395769555412777,1,0,0.0568181818181818,1,10.99,0.12,2.0,679,0,1
24.0,0,1,0.0369502500724391,0,2,0.0454545454545454,4,7.29,0.11,3.0,600,1,0
21.0,0,0,0.0396084508106882,0,0,0.1852272727272727,5,17.74,0.32,3.0,626,0,1
23.0,1,3,0.0396399460800987,0,2,0.0409090909090909,4,9.32,0.1,3.0,607,0,0
21.0,0,1,0.044017788528163,0,1,0.159090909090909,1,12.84,0.27,2.0,553,0,1
21.0,1,3,0.0431989115234891,0,2,0.0681818181818181,3,11.12,0.13,3.0,589,0,1
21.0,1,0,0.0450382352570643,0,2,0.0909090909090909,1,7.51,0.17,4.0,600,0,1
24.0,0,3,0.0446098995930811,0,2,0.0909090909090909,5,12.69,0.17,3.0,631,0,1
24.0,1,0,0.0455358605137508,1,2,0.0568181818181818,5,11.01,0.11,3.0,631,1,0
22.0,1,0,0.0441752648752157,0,0,0.0454545454545454,1,14.84,0.1,3.0,688,0,0
25.0,1,3,0.0451138239036496,1,2,0.1136363636363636,3,11.01,0.2,3.0,564,0,1
21.0,0,3,0.0460271867165551,0,2,0.1136363636363636,1,13.61,0.2,3.0,557,0,1
21.0,0,1,0.0456807387530392,0,2,0.1681818181818181,4,13.48,0.28,4.0,663,0,1
22.0,1,1,0.0468145684518185,3,2,0.1931818181818181,0,7.14,0.31,2.0,601,0,1
26.0,1,1,0.0472743993852123,0,2,0.1,0,11.01,0.17,4.0,587,0,1
21.0,0,1,0.0465752044042984,0,0,0.1249999999999999,0,15.68,0.21,3.0,518,0,1
24.0,0,1,0.0499388991773435,1,2,0.05,3,13.57,0.1,3.0,689,1,0
22.0,1,3,0.0517656248031545,1,0,0.0681818181818181,4,5.42,0.12,4.0,614,0,1
25.0,0,1,0.0517215314259798,2,2,0.0568181818181818,4,13.61,0.11,3.0,597,1,0
25.0,1,3,0.0527734734242916,0,2,0.1136363636363636,0,12.87,0.18,4.0,603,0,1
24.0,1,1,0.0539954898774204,0,0,0.1431818181818181,2,9.91,0.22,3.0,589,0,1
24.0,1,3,0.0533529863814455,2,0,0.1818181818181818,0,11.83,0.27,4.0,643,0,1
23.0,1,3,0.0541655643322372,0,2,0.0863636363636363,0,13.49,0.14,2.0,505,0,1
25.0,0,0,0.0528805573402874,4,2,0.1409090909090909,3,14.59,0.22,3.0,646,0,1
22.0,0,1,0.0559985890119304,0,2,0.1931818181818181,1,11.01,0.28,3.0,645,0,1
23.0,0,1,0.0576300439673961,0,2,0.2022727272727272,0,7.9,0.29,4.0,531,0,1
23.0,0,3,0.0561623644128651,2,0,0.0409090909090909,1,9.25,0.08,4.0,615,0,0
21.0,1,4,0.0545750028345742,0,2,0.1818181818181818,5,12.98,0.27,4.0,601,0,1
23.0,1,3,0.0614472706199528,1,2,0.159090909090909,0,11.01,0.23,3.0,580,0,1
21.0,1,4,0.0630409312521259,0,2,0.1136363636363636,2,11.01,0.17,4.0,635,0,1
22.0,0,1,0.0639479950111493,0,2,0.159090909090909,3,10.99,0.22,3.0,585,0,1
25.0,1,3,0.065818814014135,1,2,0.221590909090909,1,5.79,0.29,2.0,645,0,1
21.0,0,3,0.065642440505436,1,0,0.0454545454545454,3,11.01,0.08,4.0,623,0,0
23.0,1,4,0.0662156544087078,1,2,0.159090909090909,2,16.7,0.22,2.0,566,0,1
22.0,1,4,0.0653022915958023,0,2,0.0727272727272727,4,11.14,0.11,4.0,583,0,0
23.0,1,4,0.0682250525970999,0,0,0.2499999999999999,0,11.01,0.32,4.0,667,0,1
23.0,0,4,0.0692895927031759,2,2,0.1806818181818181,3,11.01,0.24,4.0,647,0,1
23.0,0,1,0.0703919271325446,1,0,0.0568181818181818,3,12.68,0.09,3.0,587,1,0
23.0,1,3,0.0696801340438666,2,2,0.159090909090909,0,13.98,0.21,4.0,667,0,1
23.0,0,0,0.0688234627159,0,2,0.1863636363636363,5,10.99,0.24,2.0,688,0,1
25.0,1,3,0.0702848432165488,4,2,0.0568181818181818,2,15.31,0.09,4.0,625,1,0
23.0,1,3,0.0696990312055129,3,0,0.1409090909090909,4,13.47,0.19,4.0,540,0,1
